sku,name,brand,price,price_text
04000242-1LTR,TIMBER GUARD 85-CLEAR 1L,NO BRAND,18.0000,$18.0000
04000242-4LTR,TIMBER GUARD 85-CLEAR 4L,NO BRAND,55.0000,$55.0000
040002501,FARECLA G3 PASTE COMPOUND  REGLUAR GRADE 3KG,NO BRAND,68.0000,$68.0000
040002505,FARECLA WAX TOP LIQUID POLISH  HIGH GLOSS,NO BRAND,17.5047,$17.5047
040002508,FARECLA LIQUID COMPOUND G6 1L,NO BRAND,45.0000,$45.0000
040002511,KOLOR KUT OIL/GASOLINE FINDER PASTE 2.25OZ,NO BRAND,9.5047,$9.5047
040002601,BODYFIBER POLYESTER FILLER C/W HARDENER  FIBERGLASS 1.5KG,NO BRAND,23.3645,$23.3645
040002631,QPLUS SQUEAKS TERMINATOR-310GM,NO BRAND,8.5047,$8.5047
040002701,SOUDAL FOAM FR 750ML-FIRE RETARDANT,SOUDAL,20.0000,$20.0000
040002703,SOUDAL FIX ALL FLEXI BLACK 290ML,SOUDAL,10.0000,$10.0000
040002704,SOUDAL FIX ALL FLEXI GREY 290ML,SOUDAL,10.0000,$10.0000
040002705,SOUDAL FIX ALL CRYSTAL CLEAR 290ML,SOUDAL,10.8716,$10.8716
040002706,SOUDAL FIX ALL TURBO WHITE 290ML,SOUDAL,10.8716,$10.8716
040002707,SOUDAL FIX ALL X-TREME POWER NL-FR 400KG 290ML,SOUDAL,18.3486,$18.3486
040002708,SOUDAL SILIRUB NS SILICONE ANTI FUNGAL CLEAR,SOUDAL,6.1111,$6.1111
040002709,SOUDAL SILIRUB NS SILICONE ANTI FUNGAL WHITE,SOUDAL,6.1111,$6.1111
040002711,AZ FAST EPOXY ADHESIVE E400,NO BRAND,16.9725,$16.9725
040002715,PRO-SPEC EPOXY STRONG 35ML FOR METAL 2TON,NO BRAND,3.7383,$3.7383
040002716,PRO-SPEC SUPER GLUE 4ML,NO BRAND,0.7009,$0.7009
040002717,PRO-SPEC CONTACT ADHESIVE 1KG,NO BRAND,7.0093,$7.0093
040002718,PRO-SPEC CONTACT ADHESIVE 3KG,NO BRAND,16.0750,$16.0750
0400027191,PRO-SPEC ACETOXY CURE SILICONE SEALANT PS200 – 300GM - CLEAR,NO BRAND,3.4113,$3.4113
0400027192,PRO-SPEC ACETOXY CURE SILICONE SEALANT PS200 – 300GM - WHITE,NO BRAND,3.5648,$3.5648
